Common	Scientific	Rating	Tag
Sargents crabapple	Malus sargentii	2	
Cut-leaf crabapple	Malus transitoria	2	
Pillar crabapple	Malus tschonoskii	2	
Redbud crabapple	Malus zumi	2	
	Matisia	2	
Melaleuca	Melaleuca	2	
True sago palm	Metroxylon sagu 	2	
	Microcitrus	2	
Needle bush	Mimosa farnesiana	2	syn
Bullet wood	Mimusops elengi	2	
Corduroy tamarind	Mischarytera lautereriana	2	
Noni	Morinda citrifolia	2	
Jaboticaba	Myrciaria	2	
Bayberry	Myrica	2	
California Bayberry	Myrica californica	2	
Southern bayberry	Myrica cerifera	2	
California Bayberry	Myrica heterophylla	2	
Northern bayberry	Myrica pensylvanica	2	
Black tupelo	Nyssa sylvatica	2	
Olive	Olea	2	
Snuff box tree	Oncoba spinosa	2	
Guajilote	Parmentiera edulis	2	
Upright snottygobble	Persoonia longifolia	2	
Canary Island Date Palm	Phoenix canariensis	2	
Pygmy date palm	Phoenix roebelenii	2	
Pygmy date palm	Phoenix roeblenii	2	mis
Bamboo	Phyllostachys	2	
Spruce	Picea	2	
Pine	Pinus	2	
Native mulberry	Pipturus argenteus	2	
Mount atlas pistache	Pistacia atlantica	2	
Black apple	Planchonella australis	2	syn
Burdekin plum	Pleiogynium timorense	2	
Podocarpus	Podocarpus	2	
Kusamaki	Podocarpus macrophylla	2	mis
Kusamaki	Podocarpus macrophyllus	2	
Black apple	Pouteria australis	2	
Stone fruit	Prunus	2	
Taiwan cherry	Prunus campanulata	2	
Portugal laurel	Prunus lusitanica	2	
Amur chokecherry	Prunus maacki	2	mis
Amur chokecherry	Prunus maackii	2	
Pin cherry	Prunus pennsylvanica	2	mis
Pin cherry	Prunus pensylvanica	2	
Sargents cherry	Prunus sargentii	2	
Higan cherry	Prunus subhirtella	2	
	Psychotria	2	
Pear	Pyrus	2	
Turkey Oak	Quercus cerris	2	
Bur Oak	Quercus macrocarpa	2	
Northern Red Oak	Quercus rubra	2	
	Rheedia	2	
Sumac	Rhus	2	
